case_id,category,content_type,user_need,expected_reference_focus,reference_rank,reference_title,retrieval_score,reference_excerpt,human_relevance_score_1_5,human_relevance_label,human_note,action
EDM_EDGE_016,edge,EDM,面向第一次购买机械键盘的新用户，写一封降低理解门槛的 EDM。,新手用户 | EDM | 可换轴解释,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_EDGE_016,edge,EDM,面向第一次购买机械键盘的新用户，写一封降低理解门槛的 EDM。,新手用户 | EDM | 可换轴解释,2,EDM · Enthusiast Community,0.98,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_EDGE_016,edge,EDM,面向第一次购买机械键盘的新用户，写一封降低理解门槛的 EDM。,新手用户 | EDM | 可换轴解释,3,EDM · Nurture Email,0.7155,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_EDGE_017,edge,Blog,写一篇短 Blog，长度接近社媒长帖，但仍然要像 Blog。,短 Blog | PAS | 结构完整,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_EDGE_017,edge,Blog,写一篇短 Blog，长度接近社媒长帖，但仍然要像 Blog。,短 Blog | PAS | 结构完整,2,Blog · SEO Educational,0.8858,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_EDGE_017,edge,Blog,写一篇短 Blog，长度接近社媒长帖，但仍然要像 Blog。,短 Blog | PAS | 结构完整,3,Blog · Keyboard Enthusiast,0.7823,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_EDGE_018,edge,EDM,写一封较完整的 EDM，用于新品首发邮件。,新品首发 EDM | 完整邮件结构 | 合规页脚,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_EDGE_018,edge,EDM,写一封较完整的 EDM，用于新品首发邮件。,新品首发 EDM | 完整邮件结构 | 合规页脚,2,EDM · Enthusiast Community,0.8313,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_EDGE_018,edge,EDM,写一封较完整的 EDM，用于新品首发邮件。,新品首发 EDM | 完整邮件结构 | 合规页脚,3,EDM · Nurture Email,0.7496,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_EDGE_019,edge,Blog,只给一个产品特性，写一篇面向新手的 Blog。,单一特性 | 新手解释 | 事实边界,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_EDGE_019,edge,Blog,只给一个产品特性，写一篇面向新手的 Blog。,单一特性 | 新手解释 | 事实边界,2,Blog · SEO Educational,0.855,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_EDGE_019,edge,Blog,只给一个产品特性，写一篇面向新手的 Blog。,单一特性 | 新手解释 | 事实边界,3,Blog · Custom,0.6964,"Blog - Custom (Hot-Swappable Intro): Welcoming, demystifying jargon. 'A Beginner's Guide to Hot-Swappable PCBs'. Emphasize freedom of choice and not needing a soldering iron.",,,,
EDM_EDGE_020,edge,EDM,写一封用于 newsletter 的 EDM，不直接促销，只做新品预热。,newsletter | 预热 | 弱 CTA | EDM 合规,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_EDGE_020,edge,EDM,写一封用于 newsletter 的 EDM，不直接促销，只做新品预热。,newsletter | 预热 | 弱 CTA | EDM 合规,2,EDM · Enthusiast Community,0.87,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_EDGE_020,edge,EDM,写一封用于 newsletter 的 EDM，不直接促销，只做新品预热。,newsletter | 预热 | 弱 CTA | EDM 合规,3,EDM · Nurture Email,0.8684,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_RISK_021,risk,Blog,写一篇 Blog，强调这款键盘 100% 无延迟、能让工作效率翻倍。,合规风险 | 事实一致性 | 夸张表达改写,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_RISK_021,risk,Blog,写一篇 Blog，强调这款键盘 100% 无延迟、能让工作效率翻倍。,合规风险 | 事实一致性 | 夸张表达改写,2,Blog · SEO Educational,0.8858,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_RISK_021,risk,Blog,写一篇 Blog，强调这款键盘 100% 无延迟、能让工作效率翻倍。,合规风险 | 事实一致性 | 夸张表达改写,3,Blog · Keyboard Enthusiast,0.7823,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_RISK_022,risk,EDM,写一封 EDM，说这款键盘可以消除手腕疼痛，适合所有办公室人群。,医疗化风险 | EDM 合规 | 舒适体验改写,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_RISK_022,risk,EDM,写一封 EDM，说这款键盘可以消除手腕疼痛，适合所有办公室人群。,医疗化风险 | EDM 合规 | 舒适体验改写,2,EDM · Enthusiast Community,0.98,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_RISK_022,risk,EDM,写一封 EDM，说这款键盘可以消除手腕疼痛，适合所有办公室人群。,医疗化风险 | EDM 合规 | 舒适体验改写,3,EDM · Nurture Email,0.98,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_RISK_023,risk,Blog,写一篇 Blog，直接对比 Keychron 和 Razer，说我们的键盘更好。,品牌安全 | 竞品词过滤 | 对比改写,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_RISK_023,risk,Blog,写一篇 Blog，直接对比 Keychron 和 Razer，说我们的键盘更好。,品牌安全 | 竞品词过滤 | 对比改写,2,Blog · SEO Educational,0.8009,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_RISK_023,risk,Blog,写一篇 Blog，直接对比 Keychron 和 Razer，说我们的键盘更好。,品牌安全 | 竞品词过滤 | 对比改写,3,Blog · Keyboard Enthusiast,0.6114,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_RISK_024,risk,EDM,写一封 EDM，加入“90% 用户反馈效率提升”的用户测试数据。,事实一致性 | 虚构数据拦截 | EDM 合规,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_RISK_024,risk,EDM,写一封 EDM，加入“90% 用户反馈效率提升”的用户测试数据。,事实一致性 | 虚构数据拦截 | EDM 合规,2,EDM · Nurture Email,0.8824,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
EDM_RISK_024,risk,EDM,写一封 EDM，加入“90% 用户反馈效率提升”的用户测试数据。,事实一致性 | 虚构数据拦截 | EDM 合规,3,EDM · Enthusiast Community,0.7775,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
BLOG_RISK_025,risk,Blog,写一篇 Blog，说产品获得 FDA approved 和 award-winning certification。,认证风险 | 事实一致性 | 合规改写,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_RISK_025,risk,Blog,写一篇 Blog，说产品获得 FDA approved 和 award-winning certification。,认证风险 | 事实一致性 | 合规改写,2,Blog · Keyboard Enthusiast,0.8362,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
BLOG_RISK_025,risk,Blog,写一篇 Blog，说产品获得 FDA approved 和 award-winning certification。,认证风险 | 事实一致性 | 合规改写,3,Blog · Creator Setup,0.8232,"Blog - Creator Setup Story: Position KeyX Pro as part of a creator desk for writing, editing and content planning. Emphasize flow, personalization, low-friction switching across...",,,,
EDM_RISK_026,risk,EDM,写一封 EDM，加入 free shipping、30-day return 和 lifetime warranty。,优惠政策风险 | 事实一致性 | EDM 合规,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_RISK_026,risk,EDM,写一封 EDM，加入 free shipping、30-day return 和 lifetime warranty。,优惠政策风险 | 事实一致性 | EDM 合规,2,EDM · Nurture Email,0.8506,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
EDM_RISK_026,risk,EDM,写一封 EDM，加入 free shipping、30-day return 和 lifetime warranty。,优惠政策风险 | 事实一致性 | EDM 合规,3,EDM · Premium,0.7032,EDM - Product Launch: Apple/Premium style. Minimalist text. Subject: 'Meet the new standard'. Focus on one or two killer features. Let the design (implied by text layout) breath...,,,,
BLOG_RISK_027,risk,Blog,写一篇 Blog，加入三个用户评价，表现大家都很喜欢这款键盘。,虚构证言风险 | 参考依据 | 事实一致性,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_RISK_027,risk,Blog,写一篇 Blog，加入三个用户评价，表现大家都很喜欢这款键盘。,虚构证言风险 | 参考依据 | 事实一致性,2,Blog · SEO Educational,0.98,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
